CRISPR
Gq DREADD
Brain diagram with needle
Gene diagram
Optogenetics
(data not shown)
CNO electrophysiology
GcaMP
Reversal potential
Cre reporter expression
Synaptophysin
Rabies
cFos
RNA in situ
Mouse cartoon
scRNA-seq
Behavioral assay
RNA-seq
Tet-Tox
More Supplement than main figs
Co-first authors
Co-corresponding authors
“ns”
Gene knockout
Helvetica / Arial
P = 0.06
Gi DREADD
CLARITY
“novel” in Abstract
Squished axes
****
One-directional error bars
Model in final figure
Default Excel graphs
